CITY_COUNTY,TOWNSHIP_CITY,VILLAGE,PARTY,YEAR,RECEIVED_VOTES,ISSUED_VOTES,RATE
南投縣,中寮鄉,中寮村,DPP,2008,150,514,0.2918287937743191
南投縣,中寮鄉,中寮村,DPP,2012,199,469,0.42430703624733473
南投縣,中寮鄉,中寮村,DPP,2016,189,372,0.5080645161290323
南投縣,中寮鄉,中寮村,KMT,2008,360,514,0.7003891050583657
南投縣,中寮鄉,中寮村,KMT,2012,261,469,0.5565031982942431
南投縣,中寮鄉,中寮村,KMT,2016,132,372,0.3548387096774194
南投縣,中寮鄉,內城村,DPP,2008,115,313,0.36741214057507987
南投縣,中寮鄉,內城村,DPP,2012,137,307,0.44625407166123776
南投縣,中寮鄉,內城村,DPP,2016,140,267,0.5243445692883895
南投縣,中寮鄉,內城村,KMT,2008,195,313,0.6230031948881789
南投縣,中寮鄉,內城村,KMT,2012,158,307,0.5146579804560261
南投縣,中寮鄉,內城村,KMT,2016,87,267,0.3258426966292135
南投縣,中寮鄉,八仙村,DPP,2008,250,524,0.4770992366412214
南投縣,中寮鄉,八仙村,DPP,2012,248,533,0.4652908067542214
南投縣,中寮鄉,八仙村,DPP,2016,256,459,0.5577342047930284
南投縣,中寮鄉,八仙村,KMT,2008,272,524,0.5190839694656488
南投縣,中寮鄉,八仙村,KMT,2012,263,533,0.49343339587242024
南投縣,中寮鄉,八仙村,KMT,2016,135,459,0.29411764705882354
南投縣,中寮鄉,和興村,DPP,2008,221,450,0.4911111111111111
南投縣,中寮鄉,和興村,DPP,2012,220,449,0.48997772828507796
南投縣,中寮鄉,和興村,DPP,2016,218,372,0.5860215053763441
南投縣,中寮鄉,和興村,KMT,2008,224,450,0.49777777777777776
南投縣,中寮鄉,和興村,KMT,2012,214,449,0.4766146993318486
南投縣,中寮鄉,和興村,KMT,2016,101,372,0.271505376344086
南投縣,中寮鄉,崁頂村,DPP,2008,166,369,0.44986449864498645
南投縣,中寮鄉,崁頂村,DPP,2012,151,308,0.4902597402597403
南投縣,中寮鄉,崁頂村,DPP,2016,162,286,0.5664335664335665
南投縣,中寮鄉,崁頂村,KMT,2008,198,369,0.5365853658536586
南投縣,中寮鄉,崁頂村,KMT,2012,143,308,0.4642857142857143
南投縣,中寮鄉,崁頂村,KMT,2016,73,286,0.25524475524475526
南投縣,中寮鄉,廣福村,DPP,2008,197,373,0.5281501340482574
南投縣,中寮鄉,廣福村,DPP,2012,203,363,0.559228650137741
南投縣,中寮鄉,廣福村,DPP,2016,228,346,0.6589595375722543
南投縣,中寮鄉,廣福村,KMT,2008,174,373,0.46648793565683644
南投縣,中寮鄉,廣福村,KMT,2012,147,363,0.4049586776859504
南投縣,中寮鄉,廣福村,KMT,2016,72,346,0.20809248554913296
南投縣,中寮鄉,廣興村,DPP,2008,339,603,0.5621890547263682
南投縣,中寮鄉,廣興村,DPP,2012,348,575,0.6052173913043478
南投縣,中寮鄉,廣興村,DPP,2016,343,532,0.6447368421052632
南投縣,中寮鄉,廣興村,KMT,2008,254,603,0.42122719734660036
南投縣,中寮鄉,廣興村,KMT,2012,214,575,0.37217391304347824
南投縣,中寮鄉,廣興村,KMT,2016,117,532,0.2199248120300752
南投縣,中寮鄉,復興村,DPP,2008,76,184,0.41304347826086957
