city_county,township_city,village,issued_votes_2016,population_2016,dpp_over_kmt_rates_2008,dpp_over_kmt_rates_2012,dpp_over_kmt_rates_2016,changes_at_2012,changes_at_2016,fullvill
南投縣,水里鄉,玉峰村,535,840,0.164902,0.297659,0.476636,0.132757,0.178977,南投縣水里鄉玉峰村
南投縣,水里鄉,興隆村,169,297,0.106061,0.147783,0.319527,0.0417227,0.171743,南投縣水里鄉興隆村
南投縣,水里鄉,車埕村,289,463,-0.295082,-0.220183,0.0692042,0.0748985,0.289388,南投縣水里鄉車埕村
南投縣,水里鄉,農富村,335,478,-0.241117,-0.0853994,0.080597,0.155717,0.165996,南投縣水里鄉農富村
南投縣,水里鄉,郡坑村,208,335,-0.429185,-0.194805,0.0817308,0.234379,0.276536,南投縣水里鄉郡坑村
南投縣,水里鄉,鉅工村,645,976,-0.343434,-0.213592,0.151938,0.129842,0.36553,南投縣水里鄉鉅工村
南投縣,水里鄉,頂崁村,679,1207,-0.252551,-0.124839,0.169367,0.127712,0.294206,南投縣水里鄉頂崁村
南投縣,竹山鎮,下坪里,740,1154,-0.086747,-0.017094,0.228378,0.069653,0.245472,南投縣竹山鎮下坪里
南投縣,竹山鎮,中和里,625,962,0.285531,0.338419,0.5552,0.0528875,0.216781,南投縣竹山鎮中和里
南投縣,竹山鎮,中央里,784,1236,0.029316,0.185615,0.405612,0.156299,0.219997,南投縣竹山鎮中央里
南投縣,竹山鎮,中山里,2830,4404,-0.142187,-0.03861,0.253004,0.103577,0.291614,南投縣竹山鎮中山里
南投縣,竹山鎮,中崎里,843,1331,-0.161491,-0.0161987,0.245552,0.145292,0.26175,南投縣竹山鎮中崎里
南投縣,竹山鎮,中正里,426,621,-0.209163,-0.128364,0.164319,0.0807989,0.292684,南投縣竹山鎮中正里
南投縣,竹山鎮,坪頂里,276,443,0.00917429,0.15016,0.278986,0.140985,0.128826,南投縣竹山鎮坪頂里
南投縣,竹山鎮,大鞍里,249,429,-0.12782,-0.10989,0.240964,0.0179294,0.350854,南投縣竹山鎮大鞍里
南投縣,竹山鎮,富州里,415,627,-0.178279,-0.00210086,0.286747,0.176178,0.288848,南投縣竹山鎮富州里
南投縣,竹山鎮,山崇里,1132,1829,-0.0866511,0.0781373,0.34629,0.164788,0.268152,南投縣竹山鎮山崇里
南投縣,竹山鎮,延和里,2986,4657,-0.207765,-0.0694873,0.248828,0.138277,0.318315,南投縣竹山鎮延和里
南投縣,竹山鎮,延山里,521,850,-0.0588236,0.0870371,0.299424,0.145861,0.212387,南投縣竹山鎮延山里
南投縣,竹山鎮,延平里,1803,2865,0.0133061,0.0969785,0.341653,0.0836725,0.244674,南投縣竹山鎮延平里
南投縣,竹山鎮,延正里,1060,1667,-0.0517688,0.0404475,0.313208,0.0922163,0.27276,南投縣竹山鎮延正里
南投縣,竹山鎮,延祥里,2202,3508,-0.117771,0.00578034,0.314714,0.123552,0.308934,南投縣竹山鎮延祥里
南投縣,竹山鎮,德興里,628,900,-0.144201,0.0197568,0.269108,0.163957,0.249351,南投縣竹山鎮德興里
南投縣,竹山鎮,桂林里,2268,3582,-0.170651,0.00606307,0.291446,0.176714,0.285383,南投縣竹山鎮桂林里
南投縣,竹山鎮,桶頭里,567,920,0.0288315,0.143526,0.356261,0.114694,0.212735,南投縣竹山鎮桶頭里
南投縣,竹山鎮,瑞竹里,367,603,-0.0748899,0.0582959,0.33515,0.133186,0.276854,南投縣竹山鎮瑞竹里
南投縣,竹山鎮,田子里,356,610,-0.151899,0.0173267,0.303371,0.169225,0.286044,南投縣竹山鎮田子里
南投縣,竹山鎮,硘磘里,1051,1664,,,0.324453,,,南投縣竹山鎮硘磘里
南投縣,竹山鎮,社寮里,833,1226,0.00134951,0.0595099,0.334934,0.0581604,0.275424,南投縣竹山鎮社寮里
南投縣,竹山鎮,福興里,372,579,-0.239808,-0.189252,0.115591,0.0505558,0.304844,南投縣竹山鎮福興里
南投縣,竹山鎮,秀林里,468,696,-0.0671937,0.0945946,0.386752,0.161788,0.292158,南投縣竹山鎮秀林里
南投縣,竹山鎮,竹圍里,1458,2315,-0.194673,-0.0940279,0.19273,0.100646,0.286758,南投縣竹山鎮竹圍里
南投縣,竹山鎮,竹山里,1372,2008,-0.167298,-0.0792839,0.189504,0.0880141,0.268788,南投縣竹山鎮竹山里
南投縣,竹山鎮,雲林里,2235,3425,-0.141117,-0.0578778,0.219687,0.0832394,0.277565,南投縣竹山鎮雲林里
南投縣,竹山鎮,鯉魚里,474,862,-0.089317,0.0613027,0.303797,0.15062,0.242495,南投縣竹山鎮鯉魚里
南投縣,草屯鎮,上林里,2040,2973,-0.31316,-0.220581,0.14951,0.0925789,0.370091,南投縣草屯鎮上林里
南投縣,草屯鎮,中原里,1331,1998,-0.0267738,0.0754717,0.374155,0.102245,0.298683,南投縣草屯鎮中原里
南投縣,草屯鎮,中山里,1547,2242,-0.218283,-0.091222,0.21267,0.127061,0.303892,南投縣草屯鎮中山里
南投縣,草屯鎮,中正里,468,667,-0.252285,-0.178236,0.138889,0.0740488,0.317125,南投縣草屯鎮中正里
南投縣,草屯鎮,加老里,1480,2177,-0.0940063,0.0362273,0.358784,0.130234,0.322556,南投縣草屯鎮加老里
南投縣,草屯鎮,北勢里,1258,1934,-0.150917,0.0529661,0.353736,0.203883,0.30077,南投縣草屯鎮北勢里
南投縣,草屯鎮,北投里,1782,2730,-0.127513,0.00991651,0.383277,0.13743,0.373361,南投縣草屯鎮北投里
南投縣,草屯鎮,南埔里,2641,3976,-0.144399,-0.0010508,0.326013,0.143348,0.327064,南投縣草屯鎮南埔里
南投縣,草屯鎮,和平里,794,1155,-0.229715,-0.117089,0.270781,0.112627,0.387869,南投縣草屯鎮和平里
南投縣,草屯鎮,土城里,1049,1630,-0.300518,-0.169912,0.218303,0.130607,0.388215,南投縣草屯鎮土城里
南投縣,草屯鎮,坪頂里,705,1010,-0.220461,-0.0862745,0.243972,0.134187,0.330246,南投縣草屯鎮坪頂里
南投縣,草屯鎮,富寮里,3760,6034,-0.210188,-0.10233,0.257979,0.107857,0.360309,南投縣草屯鎮富寮里
南投縣,草屯鎮,山腳里,4807,7118,-0.383442,-0.29634,0.0726025,0.0871018,0.368942,南投縣草屯鎮山腳里
南投縣,草屯鎮,平林里,669,1061,-0.348774,-0.199725,0.174888,0.149049,0.374612,南投縣草屯鎮平林里
南投縣,草屯鎮,御史里,3788,5882,-0.211548,-0.0767495,0.249736,0.134799,0.326485,南投縣草屯鎮御史里
南投縣,草屯鎮,復興里,1831,2845,-0.163178,-0.0416062,0.295467,0.121572,0.337073,南投縣草屯鎮復興里
南投縣,草屯鎮,敦和里,4029,6185,-0.285349,-0.192237,0.190866,0.0931118,0.383103,南投縣草屯鎮敦和里
南投縣,草屯鎮,新厝里,2054,2965,-0.290323,-0.192101,0.121714,0.098222,0.313814,南投縣草屯鎮新厝里
南投縣,草屯鎮,新庄里,2191,3362,-0.288579,-0.167393,0.20356,0.121186,0.370953,南投縣草屯鎮新庄里
南投縣,草屯鎮,新豐里,2625,3848,-0.13289,-0.0383552,0.280762,0.0945351,0.319117,南投縣草屯鎮新豐里
